country,CPI Inflation,Unemployment Rate,Bank Liquid to Assets
Afghanistan,-4.64470870797775,13.991,
United Arab Emirates,1.62670837213248,2.151,18.2268812375402
Australia,5.5970149253731,3.668,11.9363997006038
Austria,7.81413417002832,5.264,
Burundi,26.9414835762453,0.921,13.5632851508904
Belgium,4.04901077613941,5.528,
Benin,2.73870078406075,1.657,4.48139850260575
Burkina Faso,0.742910428668841,5.348,6.25110826306525
Bahrain,0.0746206782192256,1.154,
Central African Republic,2.97913852618937,5.877,
Canada,3.87900159788426,5.415,
Switzerland,2.13540088016377,4.043,
Cote d'Ivoire,4.38711707003279,2.27,11.5428540620014
Cameroon,7.38281384280984,3.613,
Cyprus,3.54134188751663,6.098,
Czechia,10.6612601372426,2.579,50.4613699380413
Germany,5.94643667725823,3.068,
Djibouti,1.49506816515088,26.154,9.28301652167821
Denmark,3.30517811237606,5.094,4.06618308180862
Spain,3.53236133492433,12.179,
Estonia,9.15922507983982,6.378,
Ethiopia,30.2188278135278,3.402,
Finland,6.25064322154763,7.151,
France,4.87835726508441,7.335,
United Kingdom,6.79396706793963,3.984,
Guinea,7.80497591927973,5.244,
"Gambia, The",16.9742129632327,6.479,31.4917352265164
Guinea-Bissau,7.10220928557059,2.65,6.25989287206696
Greece,3.46480128513405,11.066,
"Hong Kong SAR, China",2.09660511249089,2.949,6.32667542380105
Haiti,36.8135162780854,14.556,95.4868995911975
Ireland,6.29942487419125,4.288,
Iceland,8.73630299937298,3.518,6.06411799311504
Israel,4.20581655480978,3.596,27.2175865016628
Italy,5.62219442195901,7.627,
Japan,3.26813365933163,2.6,36.7468134301282
Cambodia,2.12746796594194,0.225,20.2689492915363
"Korea, Rep.",3.5974562502901,2.675,3.9215063642569
Liberia,10.0944535665552,2.933,
Lesotho,6.34221743124953,16.457,4.3723961038195
Lithuania,9.11731962390475,6.841,
Luxembourg,3.74140361983136,5.184,
Madagascar,9.87432675044888,3.069,16.6392092930704
Mali,2.05880228274223,2.956,6.9953219132141
Malta,5.09396758978883,3.11,
Mozambique,7.12697482131851,3.519,94.4811966105933
Mauritania,4.95305034506872,10.446,
Malawi,28.7897428247298,5.033,45.4799053115181
Niger,3.70097316425834,0.425,4.32055725991739
Nigeria,24.6595502031139,3.074,54.8797722520829
Netherlands,3.83839354342808,3.537,
Norway,5.51784987104659,3.572,0.695953014520605
Pakistan,30.7681280657005,5.408,21.9823335764182
Papua New Guinea,2.29869991296791,2.661,34.2469975748083
Poland,11.5289127961105,2.743,22.5039727258463
Rwanda,19.789546746467,12.352,15.6721091992934
Saudi Arabia,2.32708518362696,4.008,
Senegal,5.93947798773215,2.8,10.8329527535562
Singapore,4.83372362825798,3.444,
Solomon Islands,5.88585897042164,1.455,105.974545069823
Sierra Leone,47.6428733253179,3.153,17.4979438582272
South Sudan,2.38280434813754,12.477,57.2576127161057
Slovenia,7.44687717385838,3.652,
Sweden,8.54862489748902,7.611,7.3931875333475
Chad,10.8363568399842,1.074,
Togo,5.30254809108531,1.948,5.2816935287067
Tanzania,3.79923291384916,2.582,13.1676353245818
Uganda,5.35094804280395,2.787,19.3393220291894
United States,4.11633838374488,3.638,16.4799090946205
Zambia,10.884531691282,5.905,38.4209583430799
